"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Hermiston-Pendleton, OR","25840",2024,366,272,90,4,0,0,0,117,63,38,0,0,122,244,0
"Hickory-Lenoir-Morganton, NC","25860",2024,366,235,131,0,0,0,0,93,60,46,0,0,135,231,0
"Hilo, HI","25900",2024,366,355,11,0,0,0,0,75,33,21,0,0,0,366,0
"Hobbs, NM","26020",2024,364,255,104,5,0,0,0,150,71,44,0,4,292,68,0
"Holland, MI","26090",2024,351,222,125,4,0,0,0,115,66,46,0,0,147,204,0
"Homosassa Springs, FL","26140",2024,345,248,96,0,0,1,0,272,56,43,0,0,0,345,0
"Hot Springs, AR","26300",2024,118,63,55,0,0,0,0,97,62,50,0,0,0,118,0
"Houghton, MI","26340",2024,120,118,2,0,0,0,0,66,31,12,0,0,0,120,0
"Houma-Thibodaux, LA","26380",2024,362,193,168,1,0,0,0,115,61,48,0,0,65,297,0
"Houston-The Woodlands-Sugar Land, TX","26420",2024,366,43,260,46,16,1,0,201,122,63,0,4,134,213,15
"Huntington-Ashland, WV-KY-OH","26580",2024,366,237,129,0,0,0,0,99,61,44,0,1,150,215,0
"Huntsville, AL","26620",2024,363,254,109,0,0,0,0,100,58,44,0,0,135,227,1
"Idaho Falls, ID","26820",2024,366,291,75,0,0,0,0,97,63,43,0,0,306,60,0
"Indiana, PA","26860",2024,357,291,66,0,0,0,0,74,56,37,0,0,189,168,0
"Indianapolis-Carmel-Anderson, IN","26900",2024,366,129,232,5,0,0,0,138,77,55,0,0,103,262,1
"Iowa City, IA","26980",2024,366,259,107,0,0,0,0,83,57,39,0,0,0,366,0
"Ithaca, NY","27060",2024,350,340,10,0,0,0,0,71,47,35,0,0,350,0,0
"Jackson, MS","27140",2024,366,203,163,0,0,0,0,96,64,48,0,0,134,232,0
"Jackson, TN","27180",2024,357,289,68,0,0,0,0,90,54,33,0,0,0,357,0
"Jackson, WY-ID","27220",2024,366,276,88,2,0,0,0,138,67,44,0,0,335,28,3
"Jacksonville, FL","27260",2024,366,182,184,0,0,0,0,98,64,51,0,1,103,261,1
"Jamestown-Dunkirk-Fredonia, NY","27460",2024,363,326,36,1,0,0,0,105,51,36,0,0,349,14,0
"Janesville-Beloit, WI","27500",2024,205,171,32,2,0,0,0,112,58,41,0,0,205,0,0
"Jasper, IN","27540",2024,366,265,101,0,0,0,0,70,57,39,0,0,0,365,1
"Jefferson City, MO","27620",2024,262,249,13,0,0,0,0,77,49,40,0,0,262,0,0
"Johnstown, PA","27780",2024,365,269,96,0,0,0,0,87,59,42,1,0,173,191,0
"Joplin, MO","27900",2024,359,289,70,0,0,0,0,99,61,41,0,0,228,0,131
"Juneau, AK","27940",2024,356,304,52,0,0,0,0,84,55,24,0,0,0,356,0
"Kahului-Wailuku-Lahaina, HI","27980",2024,364,363,0,1,0,0,0,101,33,21,0,0,0,364,0
"Kalamazoo-Portage, MI","28020",2024,366,234,132,0,0,0,0,100,63,45,0,0,136,230,0
"Kalispell, MT","28060",2024,366,253,113,0,0,0,0,95,63,42,0,0,159,192,15
"Kansas City, MO-KS","28140",2024,366,151,205,10,0,0,0,126,77,53,0,13,140,175,38
"Keene, NH","28300",2024,366,302,64,0,0,0,0,93,54,36,0,0,223,143,0
"Kennewick-Richland, WA","28420",2024,366,296,67,3,0,0,0,126,61,36,0,0,108,215,43
"Killeen-Temple, TX","28660",2024,366,226,135,5,0,0,0,129,70,46,0,0,224,142,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2024,363,282,81,0,0,0,0,97,58,41,0,0,197,166,0
"Kingsville, TX","28780",2024,349,204,141,4,0,0,0,121,71,43,0,0,0,349,0
"Kinston, NC","28820",2024,308,295,13,0,0,0,0,77,46,34,0,0,248,0,60
"Klamath Falls, OR","28900",2024,366,259,91,9,6,1,0,207,76,33,0,0,0,366,0
"Knoxville, TN","28940",2024,366,166,199,1,0,0,0,105,68,52,0,0,153,213,0
"Kokomo, IN","29020",2024,366,241,125,0,0,0,0,93,61,44,0,0,196,170,0
"La Crosse-Onalaska, WI-MN","29100",2024,205,197,8,0,0,0,0,67,47,37,0,0,205,0,0
"La Grande, OR","29260",2024,366,303,61,2,0,0,0,128,59,23,0,0,0,365,1
"Laconia, NH","29060",2024,365,311,54,0,0,0,0,78,53,35,0,0,168,197,0
"Lafayette, LA","29180",2024,366,179,184,3,0,0,0,108,64,51,0,0,120,246,0
"Lafayette-West Lafayette, IN","29200",2024,366,241,125,0,0,0,0,90,59,44,0,0,201,165,0
"Lake Charles, LA","29340",2024,366,194,168,4,0,0,0,147,64,49,0,0,125,241,0
"Lake City, FL","29380",2024,349,220,129,0,0,0,0,93,61,44,0,0,100,249,0
"Lake Havasu City-Kingman, AZ","29420",2024,352,347,5,0,0,0,0,69,30,19,0,0,0,1,351
"Lakeland-Winter Haven, FL","29460",2024,365,282,82,1,0,0,0,105,58,39,0,0,234,131,0
"Lancaster, PA","29540",2024,366,189,174,3,0,0,0,125,69,50,0,0,140,226,0
"Lansing-East Lansing, MI","29620",2024,366,277,89,0,0,0,0,85,58,40,0,1,202,162,1
"Laramie, WY","29660",2024,366,190,163,12,1,0,0,187,80,50,0,0,287,2,77
"Laredo, TX","29700",2024,366,211,140,15,0,0,0,129,83,45,0,0,194,170,2
"Las Cruces, NM","29740",2024,366,97,237,19,6,3,4,692,97,62,0,3,174,98,91
"Las Vegas-Henderson-Paradise, NV","29820",2024,366,90,236,39,1,0,0,170,101,64,0,0,251,102,13
"Lawrenceburg, TN","29980",2024,360,272,88,0,0,0,0,84,55,38,0,0,0,360,0
"Lawton, OK","30020",2024,362,242,113,6,0,0,1,339,77,43,0,0,194,168,0
"Lebanon, PA","30140",2024,366,242,122,2,0,0,0,108,64,43,0,0,168,198,0
"Lewiston, ID-WA","30300",2024,366,224,134,4,4,0,0,196,70,43,0,0,0,366,0
"Lewiston-Auburn, ME","30340",2024,366,339,27,0,0,0,0,77,47,31,0,0,168,190,8
"Lexington-Fayette, KY","30460",2024,340,261,79,0,0,0,0,93,58,43,0,4,209,126,1
"Lima, OH","30620",2024,359,275,84,0,0,0,0,97,58,42,0,0,195,164,0
"Lincoln, NE","30700",2024,283,237,46,0,0,0,0,82,54,41,0,0,203,80,0
"Little Rock-North Little Rock-Conway, AR","30780",2024,366,118,242,5,0,1,0,205,76,55,0,0,56,310,0
"Logan, UT-ID","30860",2024,366,238,127,1,0,0,0,101,71,44,0,0,232,134,0
"Longview, TX","30980",2024,360,322,36,2,0,0,0,129,51,37,0,17,343,0,0
"Longview, WA","31020",2024,366,349,17,0,0,0,0,67,41,22,0,0,0,366,0
"Los Alamos, NM","31060",2024,116,116,0,0,0,0,0,41,27,14,0,0,0,116,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2024,366,37,195,78,47,9,0,230,164,80,0,1,197,159,9
"Louisville/Jefferson County, KY-IN","31140",2024,366,173,180,12,1,0,0,156,77,51,0,3,160,203,0
"Lubbock, TX","31180",2024,358,330,28,0,0,0,0,91,47,23,0,0,0,358,0
"Ludington, MI","31220",2024,244,218,26,0,0,0,0,97,51,37,0,0,244,0,0
"Lynchburg, VA","31340",2024,118,102,16,0,0,0,0,61,52,28,0,0,0,118,0
